,mean,above_threshold_mean_0.3,above_threshold_mean_0.5,above_threshold_mean_0.7,above_threshold_mean_0.9,above_threshold_mean_0.95,above_quantile_mean_0.3,above_quantile_mean_0.5,above_quantile_mean_0.7,above_quantile_mean_0.9,above_quantile_mean_0.95,patch_aggregation_10,patch_aggregation_20,patch_aggregation_40,patch_aggregation_80,patch_aggregation_100,patch_aggregation_200
mean,1.0,-0.09224489795918367,-0.017142857142857144,0.22924672281592398,,,0.9183673469387756,0.8318367346938775,0.7877551020408163,0.6881632653061225,0.6391836734693878,0.2016326530612245,0.516734693877551,0.5183673469387755,0.5836734693877551,0.5885714285714286,0.6342857142857142
above_threshold_mean_0.3,-0.09224489795918367,1.0,0.19020408163265307,0.05777762932759059,,,-0.10204081632653061,-0.10040816326530612,-0.09224489795918367,0.06938775510204082,0.17061224489795918,0.010612244897959184,0.018775510204081632,-0.07755102040816327,-0.12979591836734694,-0.11183673469387755,-0.10204081632653061
above_threshold_mean_0.5,-0.017142857142857144,0.19020408163265307,1.0,0.33734680349335155,,,0.015510204081632652,0.036734693877551024,0.038367346938775505,0.09224489795918367,0.12489795918367345,0.5004081632653061,0.31918367346938775,0.03346938775510204,0.08897959183673469,0.10040816326530612,0.09387755102040816
above_threshold_mean_0.7,0.22924672281592398,0.05777762932759059,0.33734680349335155,1.0,,,0.24415707877143125,0.2590674347269385,0.2777053796713226,0.3149812695600907,0.3149812695600907,0.39326063832650376,0.3187088585489675,0.23670190079367762,0.2329743118048008,0.24788466776030801,0.2777053796713226
above_threshold_mean_0.9,,,,,1.0,,,,,,,,,,,,
above_threshold_mean_0.95,,,,,,1.0,,,,,,,,,,,
above_quantile_mean_0.3,0.9183673469387756,-0.10204081632653061,0.015510204081632652,0.24415707877143125,,,1.0,0.9102040816326531,0.8661224489795918,0.7338775510204082,0.6685714285714285,0.20816326530612245,0.5591836734693878,0.5869387755102041,0.6489795918367347,0.6506122448979592,0.7028571428571428
above_quantile_mean_0.5,0.8318367346938775,-0.10040816326530612,0.036734693877551024,0.2590674347269385,,,0.9102040816326531,1.0,0.9461224489795919,0.7779591836734694,0.6897959183673469,0.22612244897959186,0.5869387755102041,0.6408163265306122,0.6963265306122448,0.7110204081632653,0.753469387755102
above_quantile_mean_0.7,0.7877551020408163,-0.09224489795918367,0.038367346938775505,0.2777053796713226,,,0.8661224489795918,0.9461224489795919,1.0,0.7926530612244899,0.7012244897959184,0.2310204081632653,0.5885714285714286,0.6620408163265306,0.7110204081632653,0.7257142857142856,0.7681632653061224
above_quantile_mean_0.9,0.6881632653061225,0.06938775510204082,0.09224489795918367,0.3149812695600907,,,0.7338775510204082,0.7779591836734694,0.7926530612244899,1.0,0.8987755102040816,0.22938775510204082,0.5248979591836734,0.5755102040816327,0.6244897959183674,0.6522448979591837,0.6751020408163265
above_quantile_mean_0.95,0.6391836734693878,0.17061224489795918,0.12489795918367345,0.3149812695600907,,,0.6685714285714285,0.6897959183673469,0.7012244897959184,0.8987755102040816,1.0,0.23265306122448978,0.5216326530612244,0.516734693877551,0.5461224489795918,0.5771428571428571,0.5967346938775511
patch_aggregation_10,0.2016326530612245,0.010612244897959184,0.5004081632653061,0.39326063832650376,,,0.20816326530612245,0.22612244897959186,0.2310204081632653,0.22938775510204082,0.23265306122448978,1.0,0.4497959183673469,0.22612244897959186,0.21959183673469387,0.20489795918367348,0.2310204081632653
patch_aggregation_20,0.516734693877551,0.018775510204081632,0.31918367346938775,0.3187088585489675,,,0.5591836734693878,0.5869387755102041,0.5885714285714286,0.5248979591836734,0.5216326530612244,0.4497959183673469,1.0,0.5640816326530612,0.5281632653061225,0.5232653061224489,0.5624489795918368
patch_aggregation_40,0.5183673469387755,-0.07755102040816327,0.03346938775510204,0.23670190079367762,,,0.5869387755102041,0.6408163265306122,0.6620408163265306,0.5755102040816327,0.516734693877551,0.22612244897959186,0.5640816326530612,1.0,0.7159183673469388,0.6587755102040816,0.6457142857142858
patch_aggregation_80,0.5836734693877551,-0.12979591836734694,0.08897959183673469,0.2329743118048008,,,0.6489795918367347,0.6963265306122448,0.7110204081632653,0.6244897959183674,0.5461224489795918,0.21959183673469387,0.5281632653061225,0.7159183673469388,1.0,0.9036734693877552,0.7893877551020408
patch_aggregation_100,0.5885714285714286,-0.11183673469387755,0.10040816326530612,0.24788466776030801,,,0.6506122448979592,0.7110204081632653,0.7257142857142856,0.6522448979591837,0.5771428571428571,0.20489795918367348,0.5232653061224489,0.6587755102040816,0.9036734693877552,1.0,0.8040816326530612
patch_aggregation_200,0.6342857142857142,-0.10204081632653061,0.09387755102040816,0.2777053796713226,,,0.7028571428571428,0.753469387755102,0.7681632653061224,0.6751020408163265,0.5967346938775511,0.2310204081632653,0.5624489795918368,0.6457142857142858,0.7893877551020408,0.8040816326530612,1.0
